player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,0,2,0,0.0,1.13,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,0,4,1,25.0,1.12,0.28,0.00,0.00,21.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Awer Mabil,MF,Australia,27-083,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Axel Disasi,DF,France,24-271,1998,1.0,0,1,0,0.0,0.99,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Axel Witsel,MF,Belgium,33-329,1989,3.0,0,1,0,0.0,0.33,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Ayase Ueda,FW,Japan,24-088,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aymeric Laporte,DF,Spain,28-194,1994,3.3,0,1,0,0.0,0.30,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Aziz Behich,DF,Australia,31-356,1990,4.0,0,2,0,0.0,0.50,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,0,1,0,0.0,0.25,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,0,2,0,0.0,0.74,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Baba Rahman,DF,Ghana,28-158,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Badr Banoun,DF,Morocco,29-068,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bailey Wright,DF,Australia,30-132,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,1,4,1,25.0,3.60,0.90,0.25,1.00,16.3,1,0,0,0.5,0.5,0.12,+0.5,+0.5
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ben Davies,DF,Wales,29-227,1993,2.6,0,3,2,66.7,1.13,0.76,0.00,0.00,12.1,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Benjamin Pavard,DF,France,26-254,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bernardo Silva,MF,Portugal,28-119,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Borna Barišić,DF,Croatia,30-027,1992,1.3,0,1,0,0.0,0.75,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Borna Sosa,DF,Croatia,24-320,1998,3.0,0,2,0,0.0,0.67,0.00,0.00,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Boulaye Dia,FW,Senegal,26-021,1996,3.5,1,8,3,37.5,2.26,0.85,0.13,0.33,14.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Breel Embolo,FW,Switzerland,25-296,1997,3.6,2,6,3,50.0,1.67,0.84,0.33,0.67,10.5,0,0,0,2.3,2.3,0.38,-0.3,-0.3
Brenden Aaronson,MF,United States,22-046,2000,1.2,0,1,0,0.0,0.83,0.00,0.00,,4.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Brennan Johnson,FW,Wales,21-198,2001,1.0,0,3,1,33.3,2.97,0.99,0.00,0.00,14.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,2,5,2,40.0,1.69,0.68,0.20,0.50,26.1,0,1,1,1.0,0.2,0.05,+1.0,+0.8
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,0,5,2,40.0,6.52,2.61,0.00,0.00,12.4,0,0,0,0.7,0.7,0.14,-0.7,-0.7
Bruno Petković,FW,Croatia,28-082,1994,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,0,2,2,100.0,0.77,0.77,0.00,0.00,11.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bukayo Saka,FW,England,21-093,2001,2.3,3,6,4,66.7,2.57,1.71,0.50,0.75,14.8,0,0,0,0.6,0.6,0.10,+2.4,+2.4
Callum Wilson,FW,England,30-283,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Soler,MF,Spain,25-339,1997,1.0,1,4,1,25.0,3.91,0.98,0.25,1.00,17.3,1,0,0,0.5,0.5,0.13,+0.5,+0.5
Casemiro,MF,Brazil,30-287,1992,3.0,1,6,2,33.3,2.00,0.67,0.17,0.50,27.9,0,0,0,0.2,0.2,0.04,+0.8,+0.8
Celso Borges,MF,Costa Rica,34-194,1988,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,2,9,5,55.6,2.95,1.64,0.22,0.40,11.4,0,0,0,1.1,1.1,0.12,+0.9,+0.9
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Chris Mepham,DF,Wales,25-032,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christian Eriksen,MF,Denmark,30-296,1992,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,27.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,14.8,0,0,0,0.2,0.2,0.23,-0.2,-0.2
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christian Pulisic,FW,United States,24-080,1998,3.5,1,9,5,55.6,2.57,1.43,0.11,0.20,17.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,3,5,3,60.0,1.33,0.80,0.60,1.00,19.9,0,0,0,0.3,0.3,0.06,+2.7,+2.7
Collins Fai,DF,Cameroon,30-116,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Connor Roberts,DF,Wales,27-075,1995,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Craig Goodwin,MF,Australia,30-356,1991,2.6,1,2,1,50.0,0.77,0.38,0.50,1.00,16.1,0,0,0,0.3,0.3,0.14,+0.7,+0.7
Cristian Romero,DF,Argentina,24-224,1998,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,1,9,1,11.1,3.24,0.36,0.00,0.00,20.9,2,1,1,1.6,0.8,0.09,-0.6,-0.8
Cyle Larin,FW,Canada,27-234,1995,1.5,0,3,1,33.3,1.97,0.66,0.00,0.00,11.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
César Azpilicueta,DF,Spain,33-101,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
César Montes,DF,Mexico,25-286,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Daichi Kamada,FW,Japan,26-124,1996,3.6,0,6,1,16.7,1.68,0.28,0.00,0.00,17.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6
Daizen Maeda,FW,Japan,25-048,1997,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,9.5,0,0,0,0.5,0.5,0.24,+0.5,+0.5
Daley Blind,DF,Netherlands,32-273,1990,4.0,1,5,2,40.0,1.25,0.50,0.20,0.50,12.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6
Damian Szymański,MF,Poland,27-174,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dani Alves,DF,Brazil,39-215,1983,1.3,0,3,0,0.0,2.29,0.00,0.00,,21.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2
Dani Carvajal,DF,Spain,30-330,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dani Olmo,FW,Spain,24-214,1998,4.1,1,12,6,50.0,2.94,1.47,0.08,0.17,21.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4
Daniel Amartey,DF,Ghana,27-351,1994,2.8,0,1,0,0.0,0.36,0.00,0.00,,5.7,0,0,0,0.2,0.2,0.23,-0.2,-0.2
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel James,FW,Wales,25-027,1997,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Danilo,DF,Brazil,31-145,1991,1.8,0,1,0,0.0,0.56,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Danilo Pereira,DF,Portugal,31-089,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Danny Ward,GK,Wales,29-168,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Darko Lazović,DF,Serbia,32-083,1990,0.3,0,1,0,0.0,3.60,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.01,0.0,0.0
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,0,3,1,33.3,1.13,0.37,0.00,0.00,22.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4
David Raum,DF,Germany,24-229,1998,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
David Wotherspoon,MF,Canada,32-325,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,1,2,1,50.0,0.95,0.47,0.50,1.00,9.9,0,0,0,0.2,0.2,0.12,+0.8,+0.8
Dayot Upamecano,DF,France,24-041,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.05,0.0,0.0
DeAndre Yedlin,DF,United States,29-151,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Declan Rice,MF,England,23-327,1999,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dejan Lovren,DF,Croatia,33-155,1989,4.3,0,1,0,0.0,0.23,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Denis Odoi,DF,Ghana,34-194,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.05,0.0,0.0
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,1,1,1,100.0,0.25,0.25,1.00,1.00,8.7,0,0,0,0.4,0.4,0.38,+0.6,+0.6
Devis Epassy,GK,Cameroon,29-308,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diego Godín,DF,Uruguay,36-294,1986,1.7,0,1,0,0.0,0.60,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Diogo Costa,GK,Portugal,23-079,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Dalot,DF,Portugal,23-264,1999,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,29.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Djibril Sow,MF,Switzerland,25-304,1997,2.9,0,2,0,0.0,0.68,0.00,0.00,,15.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dominik Livaković,GK,Croatia,27-332,1995,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dries Mertens,MF,Belgium,35-215,1987,0.8,0,3,1,33.3,3.55,1.18,0.00,0.00,14.7,0,0,0,0.8,0.8,0.27,-0.8,-0.8
Dušan Tadić,MF,Serbia,34-017,1988,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,1,3,3,100.0,3.42,3.42,0.33,0.33,10.9,0,0,0,0.8,0.8,0.27,+0.2,+0.2
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Eden Hazard,MF,Belgium,31-334,1991,1.4,0,1,1,100.0,0.73,0.73,0.00,0.00,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ederson,GK,Brazil,29-112,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,0,1,0,0.0,0.62,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,0,3,0,0.0,2.18,0.00,0.00,,13.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3
